DateTime,PV,Grid,Load
12/8/2025 00:00,0,1721,1721
12/8/2025 00:05,0,1713,1713
12/8/2025 00:10,0,2264,2264
12/8/2025 00:15,0,1779,1779
12/8/2025 00:20,0,1784,1784
12/8/2025 00:25,0,1782,1782
12/8/2025 00:30,0,2237,2237
12/8/2025 00:35,0,1812,1812
12/8/2025 00:40,0,1786,1786
12/8/2025 00:45,0,1898,1898
12/8/2025 00:50,0,1795,1795
12/8/2025 00:55,0,2094,2094
12/8/2025 01:00,0,1727,1727
12/8/2025 01:05,0,2193,2193
12/8/2025 01:10,0,1722,1722
12/8/2025 01:15,0,1838,1838
12/8/2025 01:20,0,1728,1728
12/8/2025 01:25,0,1723,1723
12/8/2025 01:30,0,1725,1725
12/8/2025 01:35,0,1729,1729
12/8/2025 01:40,0,2137,2137
12/8/2025 01:45,0,1885,1885
12/8/2025 01:50,0,1773,1773
12/8/2025 01:55,0,1774,1774
12/8/2025 02:00,0,1776,1776
12/8/2025 02:05,0,1787,1787
12/8/2025 02:10,0,1792,1792
12/8/2025 02:15,0,1903,1903
12/8/2025 02:20,0,1786,1786
12/8/2025 02:25,0,1718,1718
12/8/2025 02:30,0,2160,2160
12/8/2025 02:35,0,1710,1710
12/8/2025 02:40,0,1712,1712
12/8/2025 02:45,0,1831,1831
12/8/2025 02:50,0,2079,2079
12/8/2025 02:55,0,1710,1710
12/8/2025 03:00,0,1713,1713
12/8/2025 03:05,0,1775,1775
12/8/2025 03:10,0,1782,1782
12/8/2025 03:15,0,2145,2145
12/8/2025 03:20,0,1888,1888
12/8/2025 03:25,0,1777,1777
12/8/2025 03:30,0,1779,1779
12/8/2025 03:35,0,1781,1781
12/8/2025 03:40,0,1779,1779
12/8/2025 03:45,0,1780,1780
12/8/2025 03:50,0,1822,1822
12/8/2025 03:55,0,1713,1713
12/8/2025 04:00,0,1711,1711
12/8/2025 04:05,0,1727,1727
12/8/2025 04:10,0,1716,1716
12/8/2025 04:15,0,1722,1722
12/8/2025 04:20,0,1833,1833
12/8/2025 04:25,0,2086,2086
12/8/2025 04:30,0,2158,2158
12/8/2025 04:35,0,1775,1775
12/8/2025 04:40,0,1776,1776
12/8/2025 04:45,0,1786,1786
12/8/2025 04:50,0,1782,1782
12/8/2025 04:55,0,1891,1891
12/8/2025 05:00,0,1784,1784
12/8/2025 05:05,0,1736,1736
12/8/2025 05:10,0,1369,1369
12/8/2025 05:15,0,1213,1213
12/8/2025 05:20,0,987,987
12/8/2025 05:25,0,1091,1091
12/8/2025 05:30,0,960,960
12/8/2025 05:35,0,974,974
12/8/2025 05:40,0,982,982
12/8/2025 05:45,0,1004,1004
12/8/2025 05:50,0,1004,1004
12/8/2025 05:55,23,1106,1129
12/8/2025 06:00,0,1069,1069
12/8/2025 06:05,57,1009,1066
12/8/2025 06:10,79,1309,1388
12/8/2025 06:15,100,1419,1519
12/8/2025 06:20,122,1398,1520
12/8/2025 06:25,149,1465,1614
12/8/2025 06:30,177,1316,1493
12/8/2025 06:35,205,1283,1488
12/8/2025 06:40,238,1252,1490
12/8/2025 06:45,274,1146,1420
12/8/2025 06:50,312,1403,1715
12/8/2025 06:55,355,1370,1725
12/8/2025 07:00,403,841,1244
12/8/2025 07:05,456,1126,1582
12/8/2025 07:10,504,659,1163
12/8/2025 07:15,551,835,1386
12/8/2025 07:20,572,854,1426
12/8/2025 07:25,599,929,1528
12/8/2025 07:30,604,1483,2087
12/8/2025 07:35,629,1003,1632
12/8/2025 07:40,668,1375,2043
12/8/2025 07:45,689,927,1616
12/8/2025 07:50,720,1543,2263
12/8/2025 07:55,879,1482,2361
