"";"Sensor: Sensor (#2, 79)";"";"";"";"";"";"";
"";"Irradiation (W/m2)";"Module temperature (°C)";"Ambient temperature (°C)";"Wind velocity (m/s)";"Insolation (Wh/m2)";"Status";"Etotal_C (WattEver)";
"2025-12-08 00:00:00";"0";"23";"22";"0.000";"0";"0";"0";
"2025-12-08 00:05:00";"0";"23";"22";"0.000";"0";"0";"0";
"2025-12-08 00:10:00";"0";"23";"22";"0.000";"0";"0";"0";
"2025-12-08 00:15:00";"0";"23";"22";"0.000";"0";"0";"0";
"2025-12-08 00:20:00";"0";"23";"22";"0.000";"0";"0";"0";
"2025-12-08 00:25:00";"0";"23";"22";"0.000";"0";"0";"0";
"2025-12-08 00:30:00";"0";"23";"22";"0.000";"0";"0";"0";
"2025-12-08 00:35:00";"0";"23";"22";"0.000";"0";"0";"0";
"2025-12-08 00:40:00";"0";"23";"22";"0.000";"0";"0";"0";
"2025-12-08 00:45:00";"0";"23";"22";"0.000";"0";"0";"0";
"2025-12-08 00:50:00";"0";"23";"22";"0.000";"0";"0";"0";
"2025-12-08 00:55:00";"0";"23";"22";"0.000";"0";"0";"0";
"2025-12-08 01:00:00";"0";"23";"22";"0.000";"0";"0";"0";
"2025-12-08 01:05:00";"0";"23";"22";"0.000";"0";"0";"0";
"2025-12-08 01:10:00";"0";"23";"22";"0.000";"0";"0";"0";
"2025-12-08 01:15:00";"0";"23";"22";"0.000";"0";"0";"0";
"2025-12-08 01:20:00";"0";"23";"22";"0.000";"0";"0";"0";
"2025-12-08 01:25:00";"0";"23";"22";"0.000";"0";"0";"0";
"2025-12-08 01:30:00";"0";"23";"22";"0.000";"0";"0";"0";
"2025-12-08 01:35:00";"0";"23";"22";"0.000";"0";"0";"0";
"2025-12-08 01:40:00";"0";"23";"22";"0.000";"0";"0";"0";
"2025-12-08 01:45:00";"0";"23";"22";"0.000";"0";"0";"0";
"2025-12-08 01:50:00";"0";"22";"22";"0.000";"0";"0";"0";
"2025-12-08 01:55:00";"0";"22";"22";"0.000";"0";"0";"0";
"2025-12-08 02:00:00";"0";"22";"21";"0.000";"0";"0";"0";
"2025-12-08 02:05:00";"0";"22";"21";"0.000";"0";"0";"0";
"2025-12-08 02:10:00";"0";"22";"21";"0.000";"0";"0";"0";
"2025-12-08 02:15:00";"0";"22";"21";"0.000";"0";"0";"0";
"2025-12-08 02:20:00";"0";"22";"21";"0.000";"0";"0";"0";
"2025-12-08 02:25:00";"0";"22";"21";"0.000";"0";"0";"0";
"2025-12-08 02:30:00";"0";"22";"21";"0.000";"0";"0";"0";
"2025-12-08 02:35:00";"0";"22";"21";"0.000";"0";"0";"0";
"2025-12-08 02:40:00";"0";"22";"21";"0.000";"0";"0";"0";
"2025-12-08 02:45:00";"0";"22";"21";"0.000";"0";"0";"0";
"2025-12-08 02:50:00";"0";"22";"21";"0.000";"0";"0";"0";
"2025-12-08 02:55:00";"0";"22";"21";"0.000";"0";"0";"0";
"2025-12-08 03:00:00";"0";"22";"21";"0.000";"0";"0";"0";
